"Item Code","ItemStatus","Description","Size","Age","Proof","Bottles Per Case","Unit Price","Effective Date"
"0144B",,"AGE YOUR OWN WHISKEY KIT","750 ML",,80,4,70.00,04/01/2019
"0145B","@","HIGH WEST RENDEZVOUS RYE WHISKEY","750 ML",,92,6,69.95,04/01/2019
"0146B",,"JACK DANIELS BLACK LABEL","750 ML",,80,12,23.95,04/01/2019
"0146D",,"JACK DANIELS BLACK LABEL","200 ML",,80,48,8.45,04/01/2019
"0146E",,"JACK DANIELS BLACK LABEL","375 ML",,80,24,14.95,04/01/2019
"0146F",,"JACK DANIELS BLACK LABEL","50 ML",,80,120,2.75,04/01/2019
"0146H",,"JACK DANIELS BLACK LABEL","1.75 L",,80,6,42.95,04/01/2019
"0147B",,"GEORGE DICKEL #12","750 ML",,90,12,19.95,04/01/2019
"0147H",,"GEORGE DICKEL #12","1.75 L",,90,6,42.95,04/01/2019
"0148B",,"GENTLEMAN JACK","750 ML",,80,12,27.95,04/01/2019
"0148E",,"GENTLEMAN JACK","375 ML",,80,12,16.95,04/01/2019
"0148H",,"GENTLEMAN JACK","1.75 L",,80,6,56.95,04/01/2019
"0149B",,"KNAPPOGUE CASTLE TWIN WOOD","750 ML",,86,6,50.00,04/01/2019
"0150B",,"BRUICHLADDICH LADDIE 16 YR","750 ML",,92,6,127.70,04/01/2019
"0151A",,"PAJARITO GOLD GLASS","LITER",,80,12,7.00,04/01/2019
"0152B",,"OLD CROW","750 ML","3 YRS",80,12,10.95,04/01/2019
"0152E",,"OLD CROW","375 ML","3 YRS",80,24,6.45,04/01/2019
"0152H",,"OLD CROW","1.75 L","3 YRS",80,6,19.95,04/01/2019
"0153B",,"OLD CROW LT. WGT.","750 ML","3 YRS",80,12,10.95,04/01/2019
"0154B",,"OLD TAYLOR STRAIGHT BOURBON","750 ML","6 YRS",80,12,9.95,04/01/2019
"0154H",,"OLD TAYLOR STRAIGHT BOURBON","1.75 L","6 YRS",80,6,19.95,04/01/2019
"0155B",,"ANCIENT AGE","750 ML",,80,12,11.95,04/01/2019
"0155H",,"ANCIENT AGE","1.75 L",,80,6,25.95,04/01/2019
"0156B",,"EARLY TIMES KENTUCKY","750 ML",,80,12,11.95,04/01/2019
"0156E",,"EARLY TIMES KENTUCKY","375 ML",,80,24,6.45,04/01/2019
"0156H",,"EARLY TIMES KENTUCKY","1.75 L",,80,6,27.95,04/01/2019
"0157B",,"SAUZA BLUE SILVER TEQUILA","750 ML",,80,12,19.95,04/01/2019
"0157H",,"SAUZA BLUE SILVER TEQUILA","1.75 L",,80,6,36.95,04/01/2019
"0158B",,"OLD GRAND DAD","750 ML","4 YRS",86,12,17.95,04/01/2019
"0159B",,"EARLY TIMES KENTUCKY","750 ML",,80,12,13.95,04/01/2019
"0160B",,"EVAN WILLIAMS GREEN LABEL","750 ML","4 YRS",80,12,12.95,04/01/2019
"0160H",,"EVAN WILLIAMS GREEN LABEL","1.75 L","4 YRS",80,6,23.95,04/01/2019
"0161B",,"SAUZA BLUE REPOSADO TEQUILA","750 ML",,80,12,19.95,04/01/2019
"0162E",,"PATRON HOLIDAY W/2GLASSES","375 ML",,80,6,29.00,04/01/2019
"0163B",,"OLD CROW RESERVE","750 ML",,86,12,11.95,04/01/2019
"0163H",,"OLD CROW RESERVE","1.75 L",,86,6,24.95,04/01/2019
"0164B",,"EVAN WILLIAMS CHERRY RESERVE","750 ML",,70,12,12.95,04/01/2019
"0165B",,"JACK DANIELS GREEN LABEL","750 ML",,80,12,12.00,04/01/2019
"0165E",,"JACK DANIELS GREEN LABEL","375 ML",,80,24,5.00,04/01/2019
"0165H",,"JACK DANIELS GREEN LABEL","1.75 L",,80,6,19.00,04/01/2019
"0166B",,"PUCKER CHERRY VODKA","750 ML",,70,12,3.00,04/01/2019
"0167B",,"PUCKER CITRUS VODKA","750 ML",,70,12,5.00,04/01/2019
"0168B",,"PUCKER GRAPE VODKA","750 ML",,70,12,3.00,04/01/2019
"0169B",,"PUCKER SOUR APPLE VODKA","750 ML",,70,12,5.00,04/01/2019
"0170B",,"COURVOISIER ROSE","750 ML",,36,12,12.00,04/01/2019
"0171B",,"ABSOLUT ORIENT APPLE","750 ML",,80,12,3.00,04/01/2019
"0171F",,"ABSOLUT ORIENT APPLE","50 ML",,80,120,1.00,04/01/2019
"0172B",,"MALIBU BLACK COCONUT FLAVORED RUM","750 ML",,70,12,16.95,04/01/2019
"0172F",,"MALIBU BLACK COCONUT FLAVORED RUM","50 ML",,70,120,1.00,04/01/2019
"0173B",,"JIM BEAM CHOICE","750 ML","5 YRS",80,12,3.00,04/01/2019
"0173H",,"JIM BEAM CHOICE","1.75 L","5 YRS",80,6,10.00,04/01/2019
"0174B",,"BULLEIT 95 RYE STRAIGHT RYE WHISKEY","750 ML",,90,12,29.95,04/01/2019
"0174E",,"BULLEIT 95 RYE STRAIGHT RYE WHISKEY","375 ML",,90,12,14.95,04/01/2019
"0174H",,"BULLEIT 95 RYE STRAIGHT RYE WHISKEY","1.75 L",,90,6,57.95,04/01/2019
"0175H",,"BAILEY'S MUDSLIDE COCKTAIL","1.75 L",,25,6,9.95,04/01/2019
"0176B",,"PINNACLE CAKE","750 ML",,60,12,5.00,04/01/2019
"0178B",,"VAN GOGH BLUE DUTCH WHEAT VODKA","750 ML",,80,6,14.00,04/01/2019
"0179B",,"FIREFLY SKINNY TEA","750 ML",,60,12,3.00,04/01/2019
"0179F",,"FIREFLY SKINNY TEA","50 ML",,60,60,0.50,04/01/2019
"0180B","@","ROGUE 2007 VINTAGE VODKA","750 ML",,80,12,74.35,04/01/2019
"0181B",,"Qi WHITE TEA LIQUEUR","750 ML",,86,6,10.00,04/01/2019
"0182B",,"QI SMOKED BLACK TEA LIQUEUR","750 ML",,80,6,41.35,04/01/2019
"0183D",,"BACARDI FLVR PK:24 EA/LMN/PNAPL/MNGO/COCON/DRGNBRY","200 ML",,70,24,5.95,04/01/2019
"0183F",,"BACARDI FLVR PK:24 EA/LMN/PNAPL/MNGO/COCON/DRGNBRY","50 ML",,70,20,4.00,04/01/2019
"0184B",,"HENRY MCKENNA","750 ML",,80,12,11.95,04/01/2019
"0184H",,"HENRY MCKENNA","1.75 L",,80,6,24.95,04/01/2019
"0185B",,"LONACH GLENDARROCH 1967 41YR:DUNCN&TAYLR","750 ML","41 YRS",82,6,144.95,04/01/2019
"0186H",,"JOSE CUERVO WATERMELON MARGARITA","1.75 L",,20,6,17.95,04/01/2019
"0187B",,"CUERVO AUTHENTIC LIGHT MARGARITA CLS LME","750 ML",,20,12,5.00,04/01/2019
"0187H",,"CUERVO AUTHENTIC LIGHT MARGARITA CLS LME","1.75 L",,20,6,17.95,04/01/2019
"0188B",,"BLACK MARIAH MARIONBERRY CORDIAL","750 ML",,40,6,33.00,04/01/2019
"0189B",,"OLD FORESTER","750 ML",,86,12,18.95,04/01/2019
"0189F",,"OLD FORESTER","50 ML",,86,120,1.50,04/01/2019
"0189H",,"OLD FORESTER","1.75 L",,86,6,35.95,04/01/2019
"0190E",,"JACK DANIEL'S & COLA","375 ML",,10,24,2.95,04/01/2019
"0191B",,"STAGG JR. KENTUCKY STRAIGHT BOURBON","750 ML",,134,6,49.95,04/01/2019
"0192E",,"JACK DANIEL'S & DIET COLA(4PACK)ALUM BTL","375 ML",,10,24,2.95,04/01/2019
"0193B",,"TEN HIGH","750 ML",,80,12,9.95,04/01/2019
"0193H",,"TEN HIGH","1.75 L",,80,6,17.95,04/01/2019
"0194E",,"JACK DANIEL'S WHISKEY & GINGER R-T-D","375 ML",,10,24,2.95,04/01/2019
"0196B",,"WILD TURKEY 81","750 ML",,81,12,24.95,04/01/2019
"0196D",,"WILD TURKEY 81","200 ML",,81,24,5.00,04/01/2019
"0197B",,"STONE BARN BRNDYWRKS EASY EIGHT OAT WHKY","750 ML",,80,12,35.00,04/01/2019
"0199B",,"GEORGE DICKEL O #8","750 ML",,80,12,17.95,04/01/2019
"0199F",,"GEORGE DICKEL O #8","50 ML",,80,120,0.50,04/01/2019
"0205H",,"MALIBU RUM PUNCH COCKTAIL READY-TO-SERVE","1.75 L",,30,6,9.00,04/01/2019
"0206H",,"MALIBU TROPICAL MOJITO CKTL READY-T-SERV","1.75 L",,30,6,9.00,04/01/2019
"0207B",,"SEAGRAM'S PLATINUM SELECT VODKA","750 ML",,100,12,7.00,04/01/2019
"0208B",,"HPNOTIQ HARMONIE LIQUEUR","750 ML",,34,6,8.00,04/01/2019
"0209B",,"UV YELLOW CAKE FLAVORED VODKA","750 ML",,60,12,5.00,04/01/2019
"0209F",,"UV YELLOW CAKE FLAVORED VODKA","50 ML",,60,60,0.50,04/01/2019
"0210B",,"JOSEPH CARTRON GINGEMBRE GINGER LIQUEUR","750 ML",,36,6,10.00,04/01/2019
"0211B",,"JOSEPH CARTRON POMEGRANTE","750 ML",,36,6,10.00,04/01/2019
"0212B",,"OLD OVERHOLT","750 ML","4 YRS",80,12,19.95,04/01/2019
"0212H","@","OLD OVERHOLT","1.75 L","4 YRS",80,6,41.95,04/01/2019
"0214B",,"EL TEQUILENO PLATINO BLANCO TEQUILA","750 ML",,80,12,15.00,04/01/2019
"0215B",,"EL TEQUILENO GRAN RES REPOSADO","750 ML",,80,12,10.00,04/01/2019
"0216B","$","AVIATION GIN BAR SET GIFT(SHKR/JGR/BOOK)","750 ML",,84,6,29.95,04/01/2019
"0217A",,"BLACK LAB VODKA","LITER",,80,6,39.95,04/01/2019
"0218B",,"REISETBAUER GIN","750 ML",,86,12,50.85,04/01/2019
"0219B",,"TRADER VIC'S AUTHENTIC DARK RUM","750 ML",,80,12,5.00,04/01/2019
"0221B",,"POTTERS SPECIAL","750 ML",,80,12,7.95,04/01/2019
"0221E",,"POTTERS SPECIAL","375 ML",,80,24,4.70,04/01/2019
"0221H",,"POTTERS SPECIAL","1.75 L",,80,6,15.75,04/01/2019
"0222B",,"TR.VIC'S PRIV SEL GOLD 80","750 ML",,80,12,5.00,04/01/2019
"0223B",,"BEAMS 8 STAR","750 ML",,80,12,8.45,04/01/2019
"0223E",,"BEAMS 8 STAR","375 ML",,80,24,4.75,04/01/2019
"0223H",,"BEAMS 8 STAR","1.75 L",,80,6,16.95,04/01/2019
"0224B",,"TR.VIC'S PRIV. SEL SILVER","750 ML",,80,12,3.00,04/01/2019
"0225B",,"KESSLER","750 ML",,80,12,9.95,04/01/2019
"0225E",,"KESSLER","375 ML",,80,24,6.95,04/01/2019
"0225H",,"KESSLER","1.75 L",,80,6,19.95,04/01/2019
"0226B",,"MCCORMICK BLEND","750 ML",,80,12,8.25,04/01/2019
"0226E",,"MCCORMICK BLEND","375 ML",,80,24,4.70,04/01/2019
"0226H",,"MCCORMICK BLEND","1.75 L",,80,6,16.95,04/01/2019
"0227A",,"TRADER VIC'S ROYAL AMBER RUM","LITER",,80,12,7.00,04/01/2019
"0228H",,"MARGARITAVILLE SKINNY MARG RTD","1.75 L",,20,6,12.95,04/01/2019
"0229B",,"MONTE ALBAN REPOSADO","750 ML",,80,12,9.00,04/01/2019
"0230B",,"MONTE ALBAN SILVER","750 ML",,80,12,9.00,04/01/2019
"0231B",,"MONARCH RESERVE","750 ML",,80,12,8.45,04/01/2019
"0232B",,"ISLE OF JURA PROPHECY SINGLE MALT","750 ML",,92,6,50.00,04/01/2019
"0233B",,"BACARDI ARCTIC GRAPE","750 ML",,70,12,7.00,04/01/2019
"0233F",,"BACARDI ARCTIC GRAPE","50 ML",,70,120,0.50,04/01/2019
"0234B",,"ISLAND 808 VODKA","750 ML",,80,6,14.55,04/01/2019
"0237B",,"ARDBEG ALLIGATOR","750 ML",,102,6,49.00,04/01/2019
"0238B",,"SEAGRAM'S 7 CROWN 75TH ANNIVERSITY EDTN","750 ML",,87,12,14.95,04/01/2019
"0239H",,"CHI-CHI'S GOLD MARGARITA","1.75 L",,25,6,3.00,04/01/2019
"0240H",,"CHI-CHI'S SKINNY MARGARITA","1.75 L",,25,6,9.95,04/01/2019
"0241B",,"STEIN SEVEN DEVILS MICRO-DISTILLED RUM","750 ML",,80,12,21.95,04/01/2019
"0242B",,"42 BELOW PASSIONFRUIT FLAVORED VODKA","750 ML",,80,12,5.00,04/01/2019
"0244B",,"PENDLETON 1910 RYE WHISKEY","750 ML","12 YRS",80,6,39.95,04/01/2019
"0245B",,"IMBUE BITTERSWEET VERMOUTH","750 ML",,33,12,2.00,04/01/2019
"0247B",,"BLACK MAPLE HILL 16 YR","750 ML","16 YRS",95,6,179.50,04/01/2019
"0248B",,"BOOMSMA OUDE FINE OLD GENEVER GIN","750 ML",,80,6,15.00,04/01/2019
"0249B",,"HEAVEN HILL ULTRA DELUXE","750 ML","3 YRS",80,12,10.60,04/01/2019
"0251B",,"LION'S PRIDE ORGANIC AM. OAT WHISKEY","750 ML",,80,6,60.85,04/01/2019
"0252B",,"CANADIAN RICH AND RARE RESERVE","750 ML",,80,6,10.95,04/01/2019
"0252F",,"CANADIAN RICH AND RARE RESERVE","50 ML",,80,60,0.50,04/01/2019
"0252H",,"CANADIAN RICH AND RARE RESERVE","1.75 L",,80,6,22.95,04/01/2019
"0254B",,"TEQ ROSE HOT ROSE SPICY CINNAMON CRM LIQ","750 ML",,30,12,4.00,04/01/2019
"0254F",,"TEQ ROSE HOT ROSE SPICY CINNAMON CRM LIQ","50 ML",,30,60,0.50,04/01/2019
"0255H",,"BACARDI CLASSIC CKTL DAIQUIRI HAND SHAKE","1.75 L",,30,6,9.00,04/01/2019
"0256B",,"ART IN THE AGE GINGER SNAP LIQUOR","750 ML",,80,6,25.00,04/01/2019
"0257B",,"DISTILLER'S CHOICE MAY","750 ML",,80,12,25.75,04/01/2019
"0258E",,"SINGLE OAK PROJECT KENTUCKY STRAIGHT","375 ML",,90,12,57.45,04/01/2019
"0260B",,"CRUZAN STRAWBERRY","750 ML",,42,12,11.95,04/01/2019
"0263B",,"SEAGRAM'S SEVEN CROWN LT. WGT.","750 ML",,80,12,12.95,04/01/2019
"0264B",,"MILLARS SPECIAL RESERVE IRISH WHISKY","750 ML",,80,6,15.00,04/01/2019
"0265B",,"SEAGRAM'S SEVEN CROWN","750 ML",,80,12,12.95,04/01/2019
"0265D",,"SEAGRAM'S SEVEN CROWN","200 ML",,80,24,3.95,04/01/2019
"0265E",,"SEAGRAM'S SEVEN CROWN","375 ML",,80,12,7.95,04/01/2019
"0265F",,"SEAGRAM'S SEVEN CROWN","50 ML",,80,120,2.00,04/01/2019
"0265H",,"SEAGRAM'S SEVEN CROWN","1.75 L",,80,6,22.95,04/01/2019
"0266B",,"MILLARS SPECIAL RESERVE IRISH WHISKY","750 ML",,80,6,15.00,04/01/2019
"0267B",,"BROKER'S RESERVE","750 ML",,80,12,9.75,04/01/2019
"0267E",,"BROKER'S RESERVE","375 ML",,80,24,5.45,04/01/2019
"0267H",,"BROKER'S RESERVE","1.75 L",,80,6,17.95,04/01/2019
"0268B",,"BROKER'S RESERVE LT. WGT.","750 ML",,80,12,9.65,04/01/2019
"0269B",,"WILD TURKEY 101 PET","750 ML",,101,12,12.00,04/01/2019
"0270B",,"MAURIN QUINA LIQUEUR","750 ML",,32,12,5.00,04/01/2019
"0271B",,"DISTILLER'S CHOICE JUNE","750 ML",,80,12,25.75,04/01/2019
"0272B",,"CUPCAKE UNFLAVORED VODKA","750 ML",,80,12,7.00,04/01/2019
"0272F",,"CUPCAKE UNFLAVORED VODKA","50 ML",,80,60,1.50,04/01/2019
"0273B",,"CUPCAKE CHIFFON VODKA","750 ML",,70,12,7.00,04/01/2019
"0274B",,"CUPCAKE DEVIL'S FOOD VODKA","750 ML",,70,12,6.00,04/01/2019
"0275B",,"CUPCAKE FROSTING VODKA","750 ML",,70,12,6.00,04/01/2019
"0275F",,"CUPCAKE FROSTING VODKA","50 ML",,70,60,1.00,04/01/2019
"0276B",,"BURNETT'S WHIPPED CREAM FLAVORED VODKA","750 ML",,70,12,7.95,04/01/2019
"0276F",,"BURNETT'S WHIPPED CREAM FLAVORED VODKA","50 ML",,70,120,0.50,04/01/2019
"0276H",,"BURNETT'S WHIPPED CREAM FLAVORED VODKA","1.75 L",,70,6,18.95,04/01/2019
"0284B",,"OLD NEW ENGLAND CHOCOLATE EGG NOG","750 ML",,30,12,9.45,04/01/2019
"0285B",,"VENTURA ORANGECELLO BLOOD ORANGE","750 ML",,58,12,10.00,04/01/2019
"0285E",,"VENTURA ORANGECELLO BLOOD ORANGE","375 ML",,58,12,3.00,04/01/2019
"0286B",,"VENTURA LIMONCELLO ORIGINALE","750 ML",,58,12,12.00,04/01/2019
"0287B",,"MT. GAY BLACK RUM","750 ML",,100,12,5.00,04/01/2019
"0289A",,"CHAIRMAN RESERVE SILVER RUM","LITER",,80,6,11.00,04/01/2019
"0290B",,"ERISTOFF FRENCH VODKA","750 ML",,80,12,7.00,04/01/2019
"0290H",,"ERISTOFF FRENCH VODKA","1.75 L",,80,6,13.00,04/01/2019
"0291B",,"ERISTOFF BLACK (WILD BERRY) VODKA FRANCE","750 ML",,40,12,13.95,04/01/2019
"0292B",,"ERISTOFF RED (SLOE BERRY) VODKA FRANCE","750 ML",,40,12,3.00,04/01/2019
"0293B",,"ABERLOUR 18 YEAR SINGLE MALT SCOTCH","750 ML",,86,6,149.95,04/01/2019
"0294D",,"RED STAG BY JIM BEAM BLACK CHERRY WHISKY","200 ML","4 YRS",80,48,3.95,04/01/2019
"0296H",,"FLEISHMANN PREFERRED 80","1.75 L",,80,6,14.95,04/01/2019
"0297D",,"DEKUYPER SUMMER TRIAL PACK","200 ML",,31,30,2.00,04/01/2019
"0298B",,"RON DE JEREMY RUM (PANAMA)","750 ML",,80,6,30.95,04/01/2019
"0299B",,"MACNAUGHTONS","750 ML","4 YRS",80,12,10.95,04/01/2019
"0300B",,"CAMPBELL COOPER CANADIAN","750 ML",,87,12,7.00,04/01/2019
"0300H",,"CAMPBELL COOPER CANADIAN","1.75 L",,87,6,19.95,04/01/2019
"0301B",,"SEAGRAMS V.O. GOLD CANADIAN WHISKEY","750 ML","8 YRS",80,12,18.95,04/01/2019
"0302B",,"BLACK VELVET","750 ML","38 MOS",80,12,9.95,04/01/2019
"0303B",,"FULTON'S HARVEST APPLE PIE LIQUEUR","750 ML",,25,12,2.00,04/01/2019
"0304B",,"CANADIAN CLUB","750 ML","6 YRS",80,12,12.95,04/01/2019
"0304E",,"CANADIAN CLUB","375 ML","6 YRS",80,24,5.95,04/01/2019
"0304H",,"CANADIAN CLUB","1.75 L","6 YRS",80,6,24.95,04/01/2019
"0305B",,"CANADIAN MIST","750 ML",,80,12,10.95,04/01/2019
"0305D",,"CANADIAN MIST","200 ML",,80,48,2.00,04/01/2019
"0305E",,"CANADIAN MIST","375 ML",,80,24,6.95,04/01/2019
"0305H",,"CANADIAN MIST","1.75 L",,80,6,19.95,04/01/2019
"0306B",,"SEAGRAMS V O","750 ML",,80,12,17.95,04/01/2019
"0306E",,"SEAGRAMS V O","375 ML",,80,24,8.95,04/01/2019
"0306H",,"SEAGRAMS V O","1.75 L",,80,6,29.95,04/01/2019
"0308B",,"MACNAUGHTONS","750 ML","4 YRS",80,12,10.95,04/01/2019
"0308E",,"MACNAUGHTONS","375 ML","4 YRS",80,24,2.00,04/01/2019
"0308H",,"MACNAUGHTONS","1.75 L","4 YRS",80,6,19.95,04/01/2019
"0309B",,"POTTERS CROWN","750 ML","4 YRS",80,12,8.95,04/01/2019
"0309E",,"POTTERS CROWN","375 ML","4 YRS",80,24,4.95,04/01/2019
"0309H",,"POTTERS CROWN","1.75 L","4 YRS",80,6,16.95,04/01/2019
"0310H",,"HARWOOD CANADIAN","1.75 L","3 YRS",80,6,16.45,04/01/2019
"0311B",,"SEAGRAM'S CROWN ROYAL","750 ML",,80,12,27.95,04/01/2019
"0311D",,"SEAGRAM'S CROWN ROYAL","200 ML",,80,44,8.95,04/01/2019
"0311E",,"SEAGRAM'S CROWN ROYAL","375 ML",,80,24,14.95,04/01/2019
"0311F",,"SEAGRAM'S CROWN ROYAL","50 ML",,80,60,2.50,04/01/2019
"0311H",,"SEAGRAM'S CROWN ROYAL","1.75 L",,80,6,54.95,04/01/2019
"0312B",,"CANADIAN RICH AND RARE","750 ML",,80,12,8.95,04/01/2019
"0313B",,"BLACK VELVET","750 ML",,80,12,9.95,04/01/2019
"0313D",,"BLACK VELVET","200 ML",,80,48,4.25,04/01/2019
"0313E",,"BLACK VELVET","375 ML",,80,24,6.45,04/01/2019
"0313F",,"BLACK VELVET","50 ML",,80,120,1.50,04/01/2019
"0313H",,"BLACK VELVET","1.75 L",,80,6,21.95,04/01/2019
"0314B",,"CANADIAN RICH AND RARE","750 ML",,80,12,7.95,04/01/2019
"0314E",,"CANADIAN RICH AND RARE","375 ML",,80,24,5.95,04/01/2019
"0314H",,"CANADIAN RICH AND RARE","1.75 L",,80,6,19.95,04/01/2019
"0315B",,"FOUR ROSES LIMITED EDITION SNGL BRL 2011","750 ML",,110,6,82.75,04/01/2019
"0316B",,"DL FRANKLIN (OREGON)","750 ML",,80,12,15.95,04/01/2019
"0316F",,"DL FRANKLIN (OREGON)","50 ML",,80,49,4.00,04/01/2019
"0317B",,"EARLY TIMES BOURBON 354","750 ML",,80,12,15.45,04/01/2019
"0318B",,"LORD CALVERT","750 ML","3 YRS",80,12,9.95,04/01/2019
"0318H",,"LORD CALVERT","1.75 L","3 YRS",80,6,19.95,04/01/2019
"0319H",,"WINDSOR CANADIAN BLENDED CANADIAN WHISKY","1.75 L",,80,6,16.95,04/01/2019
"0320B",,"ANCNOC 16 YR","750 ML",,92,6,64.55,04/01/2019
"0321B",,"PENDLETON","750 ML",,80,12,28.95,04/01/2019
"0321E",,"PENDLETON","375 ML",,80,12,14.45,04/01/2019
"0321F",,"PENDLETON","50 ML",,80,120,2.00,04/01/2019
"0321H",,"PENDLETON","1.75 L",,80,6,51.95,04/01/2019
"0322B",,"CANADIAN CLUB RESERVE","750 ML","10 YRS",80,12,16.95,04/01/2019
"0323B",,"MONARCH CANADIAN","750 ML",,80,12,8.95,04/01/2019
"0323E",,"MONARCH CANADIAN","375 ML",,80,24,5.95,04/01/2019
"0323H",,"MONARCH CANADIAN","1.75 L",,80,6,16.95,04/01/2019
"0324H",,"WESTERN CANADIAN","1.75 L","4 YRS",80,6,16.95,04/01/2019
"0325B",,"CHAMBORD FLAVORED VODKA W/HANGTAG:FRANCE","750 ML",,75,6,15.00,04/01/2019
"0326B",,"CANADIAN LTD","750 ML",,80,12,7.95,04/01/2019
